,StudentId,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
12,682657,male,group D,some high school,free/reduced,none,married,never,no,1.0,private,,56,61,54
13,944440,male,group D,some high school,standard,completed,married,never,yes,1.0,school_bus,5 - 10,66,64,63
14,702459,male,group D,some college,standard,none,married,regularly,yes,2.0,private,< 5,79,68,67
15,558203,male,group D,some college,free/reduced,completed,married,regularly,yes,3.0,school_bus,5 - 10,64,65,72
16,783105,female,group E,some college,standard,completed,,regularly,no,3.0,school_bus,> 10,78,82,84
17,457556,male,group D,high school,standard,none,,regularly,yes,,school_bus,5 - 10,84,80,77
18,765981,male,group A,associate's degree,standard,none,divorced,sometimes,yes,2.0,,5 - 10,71,51,52
19,434305,female,group E,high school,standard,none,married,sometimes,yes,0.0,,5 - 10,70,69,61
20,292749,female,group C,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,78,82,87
21,413447,male,group D,associate's degree,free/reduced,none,married,,no,4.0,school_bus,< 5,53,49,49
22,307004,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,private,> 10,93,91,98
23,999953,female,group E,some high school,free/reduced,none,married,regularly,no,2.0,school_bus,> 10,53,54,52
24,453134,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,2.0,private,< 5,64,76,72
25,770953,female,group B,some high school,standard,none,married,regularly,yes,0.0,private,5 - 10,48,52,53
26,255174,female,group B,some college,free/reduced,none,divorced,sometimes,yes,1.0,private,> 10,59,73,70
27,211588,male,group D,some high school,free/reduced,none,married,sometimes,no,3.0,school_bus,5 - 10,64,70,67
29,800064,female,group E,master's degree,standard,completed,single,regularly,no,2.0,private,5 - 10,95,89,98
30,859185,female,group B,some college,standard,none,married,sometimes,yes,3.0,private,< 5,65,81,80
31,406238,female,group E,some high school,standard,completed,married,sometimes,no,1.0,school_bus,< 5,70,82,78
32,263413,female,group C,some college,standard,none,married,sometimes,no,3.0,school_bus,> 10,73,78,81
33,405904,male,group E,master's degree,free/reduced,none,single,sometimes,no,2.0,private,5 - 10,67,58,56
34,829150,male,group B,some high school,free/reduced,none,divorced,regularly,yes,0.0,private,5 - 10,55,44,36
35,834364,female,group D,high school,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,5 - 10,61,83,82
36,310710,male,group E,high school,standard,none,married,regularly,no,3.0,,5 - 10,71,64,58
37,206927,male,,some high school,free/reduced,none,married,regularly,yes,6.0,school_bus,5 - 10,62,66,66
38,325660,female,,bachelor's degree,free/reduced,completed,single,sometimes,yes,1.0,school_bus,< 5,39,52,60
39,105278,male,group E,some college,standard,none,married,never,yes,3.0,school_bus,> 10,99,90,89
40,436864,female,group C,associate's degree,standard,completed,married,regularly,yes,2.0,,5 - 10,84,91,94
41,422747,female,,master's degree,standard,none,married,regularly,yes,3.0,private,5 - 10,67,84,75
42,662721,male,group C,some college,standard,none,divorced,sometimes,yes,3.0,school_bus,< 5,64,45,48
43,432851,female,group B,some college,standard,none,married,regularly,no,,private,5 - 10,59,61,61
45,880457,female,group C,some high school,standard,completed,divorced,sometimes,yes,,private,5 - 10,57,64,64
46,692178,female,group C,some high school,free/reduced,completed,married,sometimes,yes,2.0,private,> 10,71,84,83
47,582860,male,group E,some high school,free/reduced,none,married,regularly,yes,3.0,school_bus,> 10,66,67,54
48,979986,male,group E,bachelor's degree,standard,,single,regularly,yes,1.0,private,5 - 10,86,70,76
49,200659,female,group D,high school,free/reduced,none,single,sometimes,yes,1.0,school_bus,> 10,58,66,60
50,987862,male,group C,high school,standard,none,single,sometimes,yes,2.0,private,5 - 10,55,53,52
51,856510,female,group C,some college,standard,completed,divorced,regularly,yes,5.0,school_bus,< 5,80,85,96
52,431481,male,group C,high school,free/reduced,completed,,sometimes,yes,3.0,school_bus,5 - 10,81,72,73
53,765220,female,group E,some college,standard,none,,sometimes,yes,0.0,school_bus,5 - 10,72,70,69
54,124803,female,group B,master's degree,standard,none,married,sometimes,no,2.0,,> 10,90,100,100
55,818474,female,group B,some high school,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,47,58,56
56,728965,male,group C,master's degree,free/reduced,completed,married,regularly,yes,4.0,private,5 - 10,79,85,85
57,942371,female,group D,some college,free/reduced,none,married,,no,1.0,private,> 10,65,76,83
58,930399,male,group C,some college,standard,none,single,never,yes,3.0,school_bus,< 5,64,76,70
59,919645,female,,associate's degree,standard,none,married,sometimes,yes,0.0,,5 - 10,54,70,67
60,136573,male,group C,some high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,> 10,26,19,19
61,221451,female,group C,high school,standard,completed,married,sometimes,yes,3.0,private,5 - 10,63,66,66
62,532242,female,group D,some college,standard,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,70,78,85
63,639209,female,,high school,free/reduced,completed,married,sometimes,yes,1.0,school_bus,5 - 10,60,70,73
64,249446,male,group A,master's degree,standard,none,married,sometimes,yes,4.0,private,5 - 10,90,86,78
65,367164,female,group B,bachelor's degree,free/reduced,completed,married,never,yes,2.0,school_bus,< 5,60,78,72
66,747765,female,group C,master's degree,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,73,73,73
68,175667,female,group E,bachelor's degree,standard,none,married,regularly,no,4.0,school_bus,5 - 10,74,79,77
69,756987,male,group E,some college,standard,completed,single,sometimes,yes,2.0,private,5 - 10,97,94,91
71,393574,male,group B,associate's degree,standard,completed,single,regularly,,0.0,school_bus,5 - 10,84,79,82
72,259092,male,group D,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,77,78,76
73,266746,male,group D,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,66,58,60
74,734975,female,group C,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,58,71,70
75,777759,female,group B,some high school,standard,completed,married,sometimes,yes,2.0,school_bus,< 5,62,68,76
76,769900,male,group B,associate's degree,standard,none,married,regularly,no,1.0,school_bus,> 10,83,85,82
77,398346,male,group D,high school,standard,,married,sometimes,no,3.0,school_bus,> 10,83,85,79
78,353488,female,group D,high school,free/reduced,none,divorced,regularly,yes,3.0,private,< 5,73,91,84
79,243752,female,group B,bachelor's degree,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,65,76,74
80,980037,male,group C,master's degree,free/reduced,completed,divorced,regularly,yes,1.0,,< 5,76,81,82
81,398775,male,group A,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,88,88,89
82,853643,male,group E,high school,standard,none,single,never,no,2.0,,< 5,68,47,48
83,974848,female,group E,associate's degree,standard,completed,married,never,yes,2.0,school_bus,< 5,63,64,71
84,480668,female,group E,some college,standard,none,single,never,no,5.0,school_bus,5 - 10,67,73,70
85,173369,male,group D,some college,free/reduced,none,single,sometimes,no,1.0,private,5 - 10,55,59,52
86,704954,female,group D,some college,free/reduced,completed,married,sometimes,yes,0.0,private,< 5,77,88,92
87,118633,female,group C,some high school,free/reduced,none,divorced,sometimes,yes,1.0,private,> 10,40,49,48
88,194170,female,group C,high school,standard,none,married,sometimes,no,,school_bus,> 10,78,75,75
89,398591,female,group E,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,92,89,88
90,242892,male,group C,,standard,none,married,regularly,yes,,school_bus,< 5,84,71,74
91,301287,male,group D,associate's degree,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,60,56,47
92,969923,female,group C,some high school,standard,completed,married,sometimes,yes,5.0,,5 - 10,66,84,83
93,372478,male,group B,associate's degree,standard,,married,sometimes,no,2.0,school_bus,< 5,70,68,65
94,989136,female,group B,master's degree,standard,none,single,never,no,3.0,school_bus,5 - 10,72,73,77
95,847100,male,group E,,standard,none,married,regularly,no,2.0,private,< 5,99,95,91
96,617975,female,group B,some high school,free/reduced,completed,married,sometimes,yes,2.0,private,> 10,63,71,70
97,420097,male,group C,some college,standard,none,divorced,sometimes,yes,0.0,private,> 10,52,50,46
98,581854,female,group D,some college,standard,none,,never,yes,3.0,school_bus,5 - 10,34,50,42
99,785019,male,,master's degree,standard,,single,sometimes,yes,4.0,school_bus,5 - 10,82,67,77
100,710430,male,group D,associate's degree,standard,completed,married,sometimes,yes,3.0,private,< 5,84,79,74
101,761619,female,group C,,free/reduced,none,single,never,yes,2.0,,5 - 10,32,44,35
102,711310,female,,bachelor's degree,standard,none,single,sometimes,no,1.0,private,> 10,72,85,81
103,877779,female,group E,associate's degree,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,80,93,91
104,674071,female,group B,bachelor's degree,free/reduced,none,married,sometimes,yes,3.0,school_bus,5 - 10,64,75,71
106,360624,male,group A,master's degree,standard,completed,married,never,yes,2.0,school_bus,< 5,93,98,95
107,244077,female,group A,associate's degree,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,74,77,75
109,505420,female,group A,some college,free/reduced,none,married,sometimes,yes,3.0,school_bus,< 5,67,75,72
110,191247,male,group E,some college,free/reduced,completed,married,never,yes,1.0,private,5 - 10,61,59,53
111,468240,male,group E,associate's degree,standard,none,married,regularly,yes,,school_bus,> 10,68,56,50
112,421300,female,group D,bachelor's degree,standard,none,married,sometimes,yes,1.0,private,,100,98,100
113,247734,female,group D,master's degree,standard,completed,married,regularly,yes,1.0,private,> 10,84,89,97
114,889183,male,group C,associate's degree,standard,none,married,regularly,no,1.0,school_bus,< 5,80,80,79
115,322223,female,group D,some college,standard,none,married,regularly,yes,5.0,school_bus,5 - 10,74,84,84
116,615991,female,group A,bachelor's degree,standard,none,divorced,sometimes,no,2.0,school_bus,5 - 10,65,75,76
117,587566,female,,some college,standard,none,single,never,no,2.0,,< 5,26,47,42
118,692217,male,group C,some high school,standard,,single,,yes,,school_bus,> 10,47,40,36
119,758142,male,group D,high school,free/reduced,,single,sometimes,yes,2.0,school_bus,> 10,66,59,58
120,634364,male,group C,high school,standard,none,married,regularly,no,1.0,private,5 - 10,77,75,67
121,606558,male,group E,associate's degree,free/reduced,none,divorced,regularly,yes,3.0,school_bus,< 5,61,52,53
122,627150,male,group D,bachelor's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,66,64,62
123,613661,male,group C,associate's degree,standard,completed,married,regularly,yes,3.0,private,< 5,49,51,58
124,954658,male,group C,some college,standard,none,single,regularly,yes,1.0,private,< 5,34,41,41
125,617301,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,0.0,private,5 - 10,75,96,99
126,432261,female,group C,some college,free/reduced,completed,single,sometimes,yes,3.0,school_bus,< 5,59,81,77
127,649562,female,group B,some college,standard,none,married,never,yes,,school_bus,5 - 10,70,79,74
128,944745,male,group B,master's degree,standard,completed,divorced,regularly,yes,2.0,,< 5,73,61,66
129,447651,female,group D,bachelor's degree,free/reduced,none,divorced,sometimes,yes,4.0,school_bus,5 - 10,49,59,67
131,439588,male,group D,master's degree,standard,completed,,regularly,yes,3.0,school_bus,> 10,100,96,100
132,533491,female,group B,associate's degree,standard,completed,married,never,no,3.0,private,5 - 10,62,83,79
133,181416,female,group E,high school,standard,,married,sometimes,yes,2.0,school_bus,5 - 10,82,85,79
134,178897,male,group C,master's degree,standard,completed,married,sometimes,no,2.0,private,5 - 10,73,80,76
135,178183,male,group C,some college,standard,none,single,sometimes,no,,private,> 10,46,56,45
136,779535,female,group C,associate's degree,free/reduced,completed,single,sometimes,no,1.0,school_bus,> 10,53,57,67
137,577641,female,group D,,free/reduced,none,single,sometimes,no,3.0,school_bus,5 - 10,49,55,54
139,391374,female,group D,master's degree,standard,,married,sometimes,no,2.0,,5 - 10,53,66,64
140,186497,female,group D,master's degree,standard,none,divorced,sometimes,yes,4.0,private,,84,93,98
141,814383,male,group B,associate's degree,free/reduced,none,married,regularly,no,1.0,private,5 - 10,54,52,52
142,414545,female,group A,high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,< 5,57,75,72
143,167231,female,group D,associate's degree,standard,completed,married,never,no,,school_bus,5 - 10,59,78,83
144,406147,female,group B,master's degree,standard,none,married,sometimes,yes,1.0,school_bus,< 5,60,61,64
145,388423,male,group B,some college,free/reduced,completed,single,regularly,no,1.0,school_bus,> 10,79,69,66
146,251892,female,group D,master's degree,standard,completed,single,sometimes,yes,0.0,private,5 - 10,67,85,88
147,637995,male,group C,some college,standard,none,single,sometimes,yes,1.0,school_bus,5 - 10,65,49,54
148,843053,female,group B,some high school,standard,none,single,never,yes,3.0,private,< 5,43,43,42
149,113297,female,group C,high school,free/reduced,completed,divorced,regularly,no,3.0,,< 5,56,59,58
150,944197,female,group D,some high school,standard,none,single,regularly,no,4.0,,< 5,67,72,80
151,813587,female,group B,bachelor's degree,standard,none,married,regularly,yes,1.0,school_bus,< 5,58,59,63
152,372946,female,,high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,85,92,90
153,768175,female,group E,high school,standard,completed,married,sometimes,yes,5.0,school_bus,5 - 10,78,89,85
154,783913,female,group C,bachelor's degree,standard,none,widowed,regularly,yes,1.0,private,5 - 10,72,80,80
155,110722,male,group A,associate's degree,standard,none,single,regularly,yes,3.0,private,5 - 10,90,76,78
156,334771,female,group E,,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,60,74,67
157,825345,male,group C,,standard,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,72,56,58
158,199009,male,group B,high school,free/reduced,none,married,regularly,yes,4.0,school_bus,5 - 10,57,50,50
159,369569,male,group D,associate's degree,standard,none,divorced,never,no,5.0,school_bus,> 10,96,93,90
160,805860,female,group D,high school,free/reduced,none,divorced,sometimes,yes,0.0,private,< 5,48,68,59
161,756548,male,group E,master's degree,standard,,,never,,2.0,private,5 - 10,90,73,72
162,480196,female,group B,some high school,free/reduced,none,single,regularly,no,3.0,private,> 10,40,57,54
163,495613,male,group D,some college,standard,completed,married,sometimes,yes,3.0,private,5 - 10,75,73,72
164,346521,female,,high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,61,60,60
165,419993,female,group C,master's degree,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,79,91,94
166,361865,female,group A,some college,free/reduced,none,married,sometimes,no,1.0,private,5 - 10,69,84,87
167,198704,male,group D,master's degree,standard,none,married,sometimes,no,1.0,private,< 5,70,59,63
168,115155,male,group E,bachelor's degree,standard,,divorced,regularly,no,1.0,,< 5,92,76,80
169,114477,female,group C,associate's degree,standard,completed,divorced,never,no,3.0,,< 5,91,97,95
170,220637,female,group D,some high school,standard,completed,married,sometimes,no,1.0,school_bus,5 - 10,84,95,100
171,255137,female,group D,master's degree,standard,completed,married,never,no,1.0,private,5 - 10,66,78,83
172,506360,female,group C,bachelor's degree,free/reduced,none,married,never,no,1.0,private,< 5,56,65,65
173,761445,male,group D,some high school,free/reduced,none,married,regularly,yes,2.0,private,5 - 10,58,62,57
174,762706,male,group C,some high school,standard,completed,married,sometimes,yes,0.0,school_bus,< 5,66,50,52
175,479449,male,group A,some high school,standard,completed,widowed,sometimes,yes,,private,> 10,86,85,92
176,141522,male,group D,master's degree,standard,none,married,never,yes,0.0,private,> 10,81,81,81
177,412075,male,group A,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,67,65,69
178,220231,female,group B,associate's degree,standard,none,married,never,yes,1.0,school_bus,> 10,56,72,67
179,148742,female,group B,associate's degree,standard,none,,sometimes,yes,2.0,private,< 5,56,52,57
180,460408,male,group B,some high school,standard,none,married,regularly,yes,0.0,school_bus,> 10,67,62,62
181,569499,female,,high school,standard,none,married,sometimes,yes,7.0,private,< 5,46,56,54
182,766236,male,group C,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,85,86,81
183,935515,male,group C,bachelor's degree,free/reduced,none,married,regularly,yes,,school_bus,> 10,65,65,62
184,818290,male,group B,high school,standard,none,married,never,no,2.0,school_bus,5 - 10,71,81,73
185,265255,male,group D,some high school,standard,completed,single,sometimes,yes,2.0,private,< 5,86,77,85
186,699519,female,group C,some high school,standard,none,,regularly,no,,private,< 5,82,90,84
188,858263,male,group A,some college,standard,,married,regularly,yes,0.0,school_bus,5 - 10,67,60,63
189,880307,male,group B,some college,standard,completed,married,sometimes,yes,,school_bus,< 5,81,79,80
190,564934,male,group A,some high school,standard,none,married,regularly,no,2.0,school_bus,< 5,56,42,32
191,783054,female,group C,some college,free/reduced,completed,single,never,no,3.0,private,< 5,73,84,87
192,121756,female,group D,bachelor's degree,free/reduced,none,divorced,sometimes,no,1.0,school_bus,5 - 10,76,84,85
193,501604,female,group A,bachelor's degree,standard,none,married,sometimes,yes,3.0,private,< 5,68,84,81
194,320499,female,group A,high school,standard,none,single,regularly,no,1.0,,> 10,73,73,71
195,545827,female,group C,high school,standard,completed,,sometimes,yes,2.0,school_bus,5 - 10,81,70,76
196,267708,female,group D,some high school,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,58,60,63
197,496931,female,group A,some college,standard,none,single,regularly,yes,3.0,school_bus,5 - 10,71,74,77
198,930352,male,group E,bachelor's degree,standard,none,married,sometimes,yes,1.0,,5 - 10,92,88,86
199,423873,male,group C,associate's degree,free/reduced,none,single,sometimes,yes,2.0,school_bus,> 10,69,58,59
200,471807,male,group C,high school,standard,completed,married,sometimes,yes,1.0,private,5 - 10,48,47,47
201,911694,female,group E,associate's degree,standard,none,married,regularly,no,1.0,school_bus,5 - 10,84,87,85
202,530312,male,group D,some college,free/reduced,completed,divorced,sometimes,yes,1.0,private,5 - 10,59,66,67
203,133437,male,group D,some high school,free/reduced,none,single,sometimes,no,3.0,school_bus,> 10,67,56,56
204,973263,male,,bachelor's degree,free/reduced,,married,sometimes,yes,4.0,school_bus,5 - 10,82,88,91
205,804203,female,group E,bachelor's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,80,81,77
206,821660,male,group D,some high school,standard,none,married,sometimes,no,5.0,,5 - 10,63,67,62
207,120208,male,group C,bachelor's degree,free/reduced,none,single,regularly,no,3.0,school_bus,5 - 10,91,73,78
209,291239,male,,some high school,standard,none,married,sometimes,yes,4.0,private,< 5,46,43,42
210,836955,female,group E,associate's degree,free/reduced,none,married,regularly,yes,0.0,private,> 10,78,75,80
211,996770,female,group A,high school,standard,none,married,never,no,5.0,private,< 5,53,64,62
212,868101,male,group D,some college,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,62,51,50
213,389470,male,group D,,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,70,62,65
214,551441,female,group D,associate's degree,standard,,single,sometimes,yes,,school_bus,5 - 10,47,52,56
215,722782,female,group D,high school,standard,none,married,sometimes,no,1.0,private,> 10,86,89,94
216,618204,male,group B,associate's degree,standard,completed,divorced,sometimes,no,3.0,,< 5,73,67,66
217,196326,female,group D,associate's degree,standard,none,married,sometimes,no,5.0,school_bus,5 - 10,54,65,64
218,745105,female,group D,associate's degree,free/reduced,,married,regularly,yes,2.0,school_bus,5 - 10,50,61,68
219,845615,male,group C,some high school,free/reduced,none,single,sometimes,yes,1.0,school_bus,5 - 10,63,57,55
220,569846,female,group C,high school,free/reduced,completed,married,sometimes,no,,,> 10,52,77,70
222,791171,female,group D,master's degree,standard,none,married,sometimes,yes,4.0,school_bus,5 - 10,73,82,82
223,638864,female,group B,associate's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,41,47,48
224,689396,male,group E,associate's degree,standard,none,married,sometimes,yes,2.0,,5 - 10,66,58,55
225,865484,male,group C,associate's degree,standard,none,single,regularly,yes,2.0,,5 - 10,76,79,72
226,497066,male,group E,high school,standard,completed,married,regularly,no,4.0,private,> 10,100,100,100
227,456596,male,group A,associate's degree,free/reduced,none,widowed,sometimes,no,5.0,school_bus,> 10,52,40,40
228,392186,male,group A,,standard,completed,single,sometimes,no,6.0,private,< 5,64,66,65
229,965200,female,group B,associate's degree,free/reduced,none,married,regularly,yes,0.0,private,< 5,65,81,80
231,966377,male,group D,associate's degree,standard,none,divorced,regularly,yes,1.0,private,> 10,61,50,56
233,314767,female,,some college,free/reduced,completed,married,regularly,yes,1.0,,5 - 10,49,66,61
234,676389,male,group E,some high school,free/reduced,none,divorced,never,yes,1.0,school_bus,< 5,58,59,50
235,738650,male,group E,some college,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,82,77,78
236,945602,male,,some college,standard,none,married,regularly,yes,0.0,school_bus,5 - 10,82,69,64
237,347797,male,group B,bachelor's degree,standard,none,single,never,yes,,private,5 - 10,95,88,84
238,676208,female,group E,associate's degree,standard,none,divorced,sometimes,no,2.0,school_bus,,95,92,86
241,685489,male,group B,some college,standard,none,divorced,regularly,no,2.0,private,> 10,39,40,40
242,949694,male,group C,some high school,standard,none,single,regularly,yes,1.0,,5 - 10,60,55,53
243,606229,male,group B,some college,standard,none,married,regularly,yes,3.0,private,> 10,88,78,74
244,483478,female,group D,associate's degree,standard,none,married,regularly,no,,private,5 - 10,57,59,68
245,474935,female,group D,high school,free/reduced,completed,married,sometimes,no,7.0,private,> 10,71,90,90
246,654036,female,group C,associate's degree,free/reduced,none,married,regularly,yes,0.0,private,5 - 10,74,87,92
247,407403,female,group E,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,61,65,67
248,357778,male,group B,some college,standard,none,,sometimes,yes,1.0,school_bus,< 5,77,73,69
249,449235,female,group E,master's degree,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,71,80,80
250,734453,male,group D,some high school,standard,completed,,sometimes,yes,2.0,school_bus,5 - 10,66,54,62
251,499586,male,,,free/reduced,none,married,never,yes,4.0,private,< 5,72,76,72
253,678698,female,group E,associate's degree,free/reduced,none,divorced,sometimes,yes,3.0,private,5 - 10,48,53,53
254,296167,male,group D,some college,standard,none,married,never,yes,4.0,school_bus,< 5,68,69,62
255,120738,male,group C,high school,standard,none,divorced,sometimes,no,1.0,private,> 10,65,56,53
256,942278,male,group A,associate's degree,standard,none,single,regularly,no,5.0,private,< 5,80,77,74
257,632759,male,group E,some high school,standard,completed,single,regularly,yes,2.0,private,5 - 10,87,76,77
258,724062,female,group D,some college,free/reduced,completed,single,sometimes,yes,1.0,,5 - 10,45,60,59
260,492557,male,group D,high school,standard,none,married,never,no,4.0,private,5 - 10,78,71,67
261,360644,male,group C,high school,free/reduced,none,divorced,regularly,yes,0.0,school_bus,5 - 10,59,60,55
262,893682,male,group B,bachelor's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,77,84,76
263,578507,male,group B,some high school,free/reduced,completed,married,sometimes,no,7.0,,5 - 10,55,53,51
264,587759,male,,some college,free/reduced,completed,married,sometimes,yes,1.0,school_bus,5 - 10,57,52,56
265,683909,female,group D,some college,free/reduced,none,married,sometimes,yes,2.0,,5 - 10,39,60,63
266,491478,female,group B,some high school,free/reduced,none,widowed,never,yes,4.0,private,,37,47,44
267,741825,male,group D,associate's degree,standard,none,married,sometimes,no,1.0,,,79,80,75
268,975937,female,group C,some high school,free/reduced,none,single,sometimes,yes,1.0,school_bus,< 5,59,79,71
269,797629,male,group E,some high school,free/reduced,completed,married,regularly,yes,1.0,private,5 - 10,92,90,84
270,261770,female,group D,associate's degree,standard,completed,divorced,regularly,yes,5.0,private,5 - 10,61,70,74
271,348335,male,group A,bachelor's degree,standard,completed,widowed,regularly,no,1.0,school_bus,< 5,78,69,73
272,534123,male,group B,some college,free/reduced,none,divorced,,no,1.0,school_bus,5 - 10,55,58,53
273,189073,female,group D,some high school,free/reduced,none,divorced,never,yes,1.0,school_bus,< 5,49,62,62
274,283356,female,group B,some college,standard,completed,divorced,sometimes,no,2.0,private,> 10,73,87,89
275,168548,female,group B,associate's degree,free/reduced,completed,married,sometimes,yes,0.0,school_bus,< 5,31,50,48
276,745497,female,group E,high school,standard,completed,married,sometimes,no,1.0,school_bus,> 10,84,96,93
277,115603,female,group A,some college,free/reduced,none,single,regularly,no,2.0,private,< 5,65,79,78
278,930566,female,group C,high school,standard,none,divorced,,yes,2.0,private,5 - 10,92,83,84
279,661813,female,group C,high school,free/reduced,,married,sometimes,yes,3.0,,5 - 10,51,64,57
280,314070,male,,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,,76,65,59
281,270264,female,group C,high school,standard,none,married,sometimes,yes,3.0,private,,58,71,62
282,760670,male,group C,,standard,completed,divorced,never,no,2.0,private,5 - 10,86,90,86
283,191893,male,group D,high school,free/reduced,none,single,regularly,yes,1.0,school_bus,5 - 10,76,73,69
284,171545,male,group B,master's degree,free/reduced,,married,regularly,yes,4.0,school_bus,5 - 10,56,55,49
285,514446,male,group D,some college,free/reduced,none,married,never,yes,1.0,school_bus,> 10,76,65,65
286,302974,female,group E,high school,standard,completed,married,sometimes,yes,2.0,private,5 - 10,93,98,94
287,735740,female,group C,some high school,standard,none,married,sometimes,yes,2.0,private,5 - 10,38,54,41
288,395389,female,group D,,free/reduced,none,married,sometimes,yes,1.0,private,> 10,48,65,73
289,483534,female,group C,high school,standard,none,married,sometimes,yes,1.0,school_bus,< 5,34,36,34
290,460956,female,group B,some high school,free/reduced,none,single,regularly,no,6.0,private,5 - 10,50,54,58
291,845454,female,group B,high school,free/reduced,completed,divorced,never,no,1.0,private,< 5,33,54,54
292,179815,male,group A,high school,standard,none,married,never,no,1.0,school_bus,5 - 10,69,68,60
293,230623,female,group B,some college,free/reduced,none,married,sometimes,no,3.0,school_bus,< 5,54,67,64
294,879992,female,,some college,standard,none,married,never,no,1.0,school_bus,5 - 10,80,84,88
295,174125,female,group D,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,> 10,59,72,72
296,877274,male,group D,master's degree,standard,none,married,sometimes,yes,2.0,private,5 - 10,90,92,97
297,525817,male,group C,high school,standard,none,married,regularly,no,2.0,,5 - 10,67,49,50
298,349542,female,group E,high school,free/reduced,none,widowed,regularly,no,1.0,school_bus,5 - 10,83,86,83
299,627560,female,group D,master's degree,standard,none,divorced,sometimes,yes,,private,5 - 10,67,80,81
300,803868,male,group C,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,58,60,47
301,258918,female,group C,high school,free/reduced,completed,divorced,sometimes,yes,3.0,private,5 - 10,12,43,40
302,684084,female,group D,some college,free/reduced,completed,divorced,regularly,yes,1.0,school_bus,5 - 10,43,60,69
303,186566,male,group C,some college,standard,none,married,regularly,no,,school_bus,5 - 10,66,59,59
304,452206,female,group C,high school,free/reduced,none,divorced,sometimes,yes,1.0,private,,54,66,60
305,461329,male,group B,some college,standard,none,married,never,yes,1.0,school_bus,5 - 10,65,59,62
306,762917,male,group B,associate's degree,standard,,,regularly,yes,3.0,school_bus,5 - 10,51,43,47
307,992175,female,group C,high school,free/reduced,none,single,regularly,no,2.0,private,< 5,44,53,53
308,878422,female,group C,high school,standard,none,married,sometimes,yes,0.0,school_bus,< 5,62,69,67
309,795537,male,group B,some college,standard,completed,single,never,yes,1.0,private,5 - 10,80,83,80
310,229666,male,group D,associate's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,74,76,74
311,778306,female,group A,high school,free/reduced,none,married,sometimes,no,3.0,private,< 5,56,72,70
312,611276,female,group D,master's degree,standard,none,married,sometimes,yes,2.0,school_bus,> 10,73,78,78
313,749056,female,group D,associate's degree,standard,completed,divorced,regularly,yes,1.0,private,< 5,74,73,81
314,208549,female,group B,some college,standard,none,divorced,sometimes,no,2.0,school_bus,5 - 10,63,83,79
315,893065,female,group D,some high school,standard,completed,divorced,sometimes,yes,1.0,private,> 10,55,65,66
316,659437,female,group D,some high school,standard,none,married,regularly,no,1.0,school_bus,< 5,49,66,61
317,439608,female,group D,bachelor's degree,free/reduced,completed,divorced,sometimes,no,4.0,school_bus,> 10,72,75,80
318,273638,male,,some high school,standard,completed,single,regularly,yes,1.0,private,5 - 10,84,84,85
